"","AFFY.Mouse430.2.probe","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"6029","1435401_at",0.435738401524887,7.50030702584009,4.91187583111762,7.50996645789946e-05,0.000531194457404398,1.07482266394498
"4924","1460603_at",-0.342278859665896,6.55151579280231,-4.91184434577232,7.51052430189933e-05,0.000531194457404398,1.07474827696014
"2323","1452903_at",0.558926107600175,8.452706340786,4.90796582899879,7.57956391525775e-05,0.000535155091283252,1.06558462558677
"1908","1422924_at",0.370883599619203,6.8175324719408,4.90777726732124,7.5829367327975e-05,0.000535155091283252,1.06513910144933
"6254","1422759_a_at",0.612112565758858,8.99305746272406,4.90657891183272,7.60440733345984e-05,0.000536090164556666,1.06230765376531
"5005","1439101_at",-0.440803560784271,7.66823358593054,-4.90573789285217,7.61951235863497e-05,0.000536574946983354,1.06032047879441
"3099","1416309_at",0.470322294482836,9.89748084898777,4.90137978852613,7.69827322037505e-05,0.000541536566020126,1.05002262303733
"291","1451096_at",0.590308715521369,10.791322846685,4.88836166962681,7.93848010123038e-05,0.000557832206251329,1.01925743368449
"4375","1415932_x_at",-0.50325212584638,7.66314892600764,-4.88475501095616,8.00636078647377e-05,0.00056199654131965,1.01073281619439
"6469","1431780_at",-0.32641818313416,6.49190447980612,-4.8762668003469,8.1684430323476e-05,0.00057275717219289,0.990668345822319
"3106","1434822_at",0.533845146182081,8.88397025489602,4.86099280212652,8.46850610429642e-05,0.000593159272890623,0.954556944138644
"5539","1420138_at",0.456580883819763,8.58213746164384,4.85846059538831,8.51931871424755e-05,0.000596078083000089,0.94856939055948
"2242","1417746_at",-0.393265187066025,6.97732914109026,-4.85732297439084,8.54224707896181e-05,0.000597041727780385,0.945879344368984
"4427","1437392_at",-0.406969387316565,7.11641196081873,-4.8560726938494,8.5675180363531e-05,0.000598166864186923,0.942922848274693
"1836","1428525_at",-0.405331469120743,6.58311938009538,-4.85547683224222,8.57958831212348e-05,0.00059836893458136,0.941513815231546
"3121","1428958_at",-0.360840744884346,6.75154082151538,-4.85148866714259,8.66081982759231e-05,0.000603071331803363,0.93208268881487
"1049","1416892_s_at",0.494643265370659,9.10410889082112,4.85125960519399,8.66550893880926e-05,0.000603071331803363,0.931540991329642
"3570","1418799_a_at",-0.416688930742012,6.55143825445126,-4.84984106138853,8.69460507317942e-05,0.000604451169319861,0.92818630560651
"4897","1424050_s_at",-0.477922839100078,8.67255250644873,-4.84812927453902,8.72984754173969e-05,0.000606254907557876,0.924138043139938
"3754","1417019_a_at",0.570380133131986,9.59944754911244,4.84558864523808,8.78242075034739e-05,0.000609257082053355,0.918129438343558
"2429","1434558_at",-0.498295933202825,7.5188001940081,-4.84391747146491,8.81717673348296e-05,0.000611018166621067,0.91417698174349
"4982","1429030_at",-0.321637921031731,6.52618852578965,-4.84011920385647,8.89668869559818e-05,0.00061553491440263,0.905193431089132
"4239","1451663_a_at",-0.378734731717205,7.50371742247814,-4.83990314653283,8.90123331209446e-05,0.00061553491440263,0.904682404101643
"3783","1428196_a_at",0.388867696174071,8.43306739040538,4.83700236493115,8.96247700280579e-05,0.000618541198642996,0.897821214395392
"232","1424575_at",0.447616386720364,8.29956683679585,4.83694568772646,8.96367785182688e-05,0.000618541198642996,0.897687153581056
"608","1448295_at",0.421665793066706,9.72635847034228,4.82814403072729,9.15215076919287e-05,0.000630567922864898,0.876866966524305
"2596","1435211_at",0.345589041028874,6.58008131582303,4.82790593594416,9.15730444645083e-05,0.000630567922864898,0.876303721805463
"1705","1423406_at",-0.45541864889381,7.18453748571884,-4.8214367536139,9.29846122359959e-05,0.000639612506741487,0.8609993181329
"159","1415829_at",0.474261558863354,10.8826498754022,4.81880482562113,9.35651705473834e-05,0.000642321346832362,0.854772479659613
"1371","1416514_a_at",0.50823320732184,12.0088792377961,4.8187585324977,9.3575414735584e-05,0.000642321346832362,0.854662953507847
"4320","1428548_at",0.44363397827901,8.58716994277883,4.81672823413608,9.40258154572094e-05,0.000644734324496806,0.849859349621346
"5806","1435389_at",-0.484931679800026,6.54622159430479,-4.81124061933652,9.52541801451572e-05,0.000652471122611943,0.836875232731594
"3379","1448868_at",0.491412814082683,9.26636164517781,4.80767334810209,9.60613737680977e-05,0.000656850853907634,0.828434298920667
"5434","1434767_at",0.551030683684257,8.57919291604699,4.8075252517781,9.60950336800925e-05,0.000656850853907634,0.828083862666715
"4971","1427284_a_at",0.557887085834745,7.86554660818321,4.8065057001751,9.63270850194231e-05,0.0006577475616876,0.825671307736779
"5191","1423428_at",0.340490905963502,7.79783451493061,4.79806404587323,9.8270299213239e-05,0.000670314457290305,0.805694706209963
"5093","1424488_a_at",0.479799860035811,9.08236448711081,4.79648667409917,9.86377682840425e-05,0.000672117959227002,0.801961728844957
"4403","1455714_at",-0.460655309823053,7.39962781050991,-4.79360458189195,9.93127781833571e-05,0.000676011092415106,0.795140837722024
"5336","1424485_at",-0.367882110664677,6.8731817429178,-4.79214461242188,9.96564939467442e-05,0.000677643375418894,0.791685515266361
"3022","1423554_at",-0.452745687840844,7.23161980183219,-4.79074817264927,9.99863775347087e-05,0.000679178299899828,0.788380491592462
"2281","1425530_a_at",-0.325295945371701,6.73926086252657,-4.79030293939798,0.00010009178757635,0.000679186833283435,0.787326724068303
"4041","1437910_at",0.406503915143075,8.10754265639682,4.78346663998783,0.000101724465352182,0.000689548065032829,0.77114602454211
"1806","1433639_at",-0.521719630426663,9.11722302474601,-4.78276778004984,0.000101892878788823,0.000689972442971874,0.76949183282779
"1192","1416702_at",-0.503021451311626,7.23979139164351,-4.78057205779406,0.000102423845446105,0.000692848439993831,0.76429450039164
"4636","1451487_at",0.365602574680254,8.19438341405243,4.77583629396194,0.000103578575501281,0.000699933565641298,0.753084369587458
"4011","1425293_a_at",-0.440554780160122,7.7389140016839,-4.77335396998409,0.000104189088465606,0.000703189209996677,0.747208161381049
"1195","1418755_at",-0.412789138314999,7.15058393661041,-4.77300168013456,0.000104276026079863,0.000703189209996677,0.746374200127492
"2430","1422977_at",-0.36994610438775,6.53389827114173,-4.77252263404174,0.000104394361988746,0.000703259953025423,0.745240168677122
"2961","1421990_at",-0.349451838824264,6.61482603159168,-4.77137898630189,0.000104677419173267,0.000704439061330104,0.742532820752328
"4411","1431849_at",-0.32039186278319,6.27809490188949,-4.77048644469366,0.00010489886503938,0.000705201545280202,0.740419889982861
