"","AFFY.Mouse430.2.probe","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"3042","1436948_a_at",-0.512046934862528,7.38602612229146,-7.8181458763798,1.24166474952728e-07,1.83603080083161e-06,7.11369303304941
"5818","1426410_at",-0.655436309276521,9.06763975405826,-7.81087748505219,1.2600216571386e-07,1.85561702883413e-06,7.09863321737669
"2675","1436195_at",-0.823464412376281,7.33872793571681,-7.81064961907212,1.26060166197442e-07,1.85561702883413e-06,7.09816097489167
"5233","1415983_at",0.670024071368782,8.07638838956092,7.80288004244832,1.28054406232422e-07,1.88072698883248e-06,7.0820547386646
"6482","1438629_x_at",0.690649753738471,9.74690667158122,7.78824883982605,1.31898779938736e-07,1.93283582916966e-06,7.05170269885525
"4751","1416723_at",-0.711602377611324,8.8291492644774,-7.78093046104477,1.33866226007357e-07,1.95726829550219e-06,7.03651026406117
"5249","1422536_at",-0.819936613275197,7.32175655205658,-7.76123630392298,1.3931267907668e-07,2.03234447485242e-06,6.99559131595882
"981","1423340_at",-0.746879902102451,6.80474487396735,-7.73863225630448,1.45846887365338e-07,2.12291864399412e-06,6.94856304144906
"1366","1424192_at",-0.741020104360933,8.85169243054643,-7.73128003452177,1.48039770596191e-07,2.15003862819101e-06,6.93325196511014
"1319","1422622_at",-0.555992973783986,7.20991702700972,-7.7292982361314,1.48636669854818e-07,2.1539104980517e-06,6.92912362391026
"368","1437884_at",-0.68112051547813,8.02971730439603,-7.72512446822208,1.49901911873519e-07,2.16742875238851e-06,6.92042742534783
"2195","1428101_at",-0.63490479632587,8.93172486241542,-7.71473036021185,1.5310135861304e-07,2.20879194583105e-06,6.89876088591991
"6068","1423499_at",-0.5230946457377,7.42546202980921,-7.71219041704772,1.53893853824454e-07,2.21532410770257e-06,6.89346419240858
"4267","1423252_at",-0.602731673033139,8.66927537301118,-7.70760050310003,1.5533672674304e-07,2.23116915218361e-06,6.88389040550853
"6389","1422198_a_at",0.669208329709658,8.56534880670879,7.70197071920849,1.57125582788246e-07,2.25190313266406e-06,6.87214381345622
"5114","1427359_at",-0.757816407043992,7.15961572799215,-7.69819227253044,1.58338095073891e-07,2.26430420608956e-06,6.86425769733487
"5511","1427982_s_at",-0.681125539126739,7.72152710684086,-7.69474598598988,1.5945244020636e-07,2.27366784468337e-06,6.8570631938853
"2029","1417073_a_at",-0.856098626751956,8.85172752406175,-7.69401385860136,1.59690212063331e-07,2.27366784468337e-06,6.85553459454033
"4257","1417409_at",-0.738574477565367,8.48822135813546,-7.67613777603544,1.6561080745899e-07,2.35282805106769e-06,6.81818932112998
"2013","1455807_at",-0.455053760134429,6.88348497606446,-7.67166938999887,1.67125846306777e-07,2.36919052992716e-06,6.80884771679416
"2554","1435452_at",0.62607974200945,7.80795993909309,7.66559499176753,1.69208394654803e-07,2.39350963458561e-06,6.79614434449599
"4009","1426530_a_at",-0.678931584956791,8.4700773449688,-7.66417003285329,1.69700795698843e-07,2.39527897998301e-06,6.79316362436134
"3607","1421381_a_at",-0.808972901915929,8.64525861594589,-7.65386334919291,1.7330664738691e-07,2.44089124753789e-06,6.77159616385268
"2731","1456756_at",-0.639530582512046,9.20591117705073,-7.64365621626036,1.76955666116436e-07,2.48691357488206e-06,6.75022316146525
"4489","1430583_at",-0.523942052776434,6.93873997140284,-7.63278642333101,1.80928881650575e-07,2.53632735731256e-06,6.72744743633874
"6445","1422720_at",-0.475123948894645,8.03416407176673,-7.63191982347229,1.81249585724222e-07,2.53632735731256e-06,6.72563095695835
"578","1435548_at",0.481394420811049,7.50013307723656,7.62558231474797,1.8361282567848e-07,2.56389558083376e-06,6.71234388885887
"1715","1416232_at",-0.511493995714682,6.74864789312563,-7.59395440982651,1.95891264400174e-07,2.72950199819131e-06,6.64595417376215
"1046","1417030_at",-0.524267004192676,6.75595970150767,-7.56736013433381,2.06870345002319e-07,2.87633586302798e-06,6.59002813685992
"6366","1437601_at",-0.64565165069645,6.7659197598063,-7.54834694801396,2.15107465846326e-07,2.98450166975296e-06,6.54998736044984
"5600","1417558_at",-0.676957977666572,9.00651063771425,-7.53910672952514,2.19232106337252e-07,3.03527083954399e-06,6.5305107077275
"770","1423150_at",-0.624323269507923,7.23389672017325,-7.52740134449953,2.24574593185899e-07,3.10265025882467e-06,6.50582176487304
"4914","1417435_at",-0.623914112388769,8.54517954881668,-7.52346350520665,2.26401920636075e-07,3.12128313840982e-06,6.49751202863578
"3375","1419688_at",-0.682274378321358,8.18740656397094,-7.51247185296771,2.31584133716002e-07,3.18599184802121e-06,6.4743063196279
"5539","1420138_at",0.631243929010481,8.58213746164384,7.50988317514583,2.32822320868882e-07,3.19328610261695e-06,6.4688387534226
"4141","1417985_at",-0.875048671524928,9.21583600112064,-7.50931764719524,2.33093725631908e-07,3.19328610261695e-06,6.46764417990323
"2854","1429809_at",-0.671508764011108,7.48884644643254,-7.50428750977218,2.3552216931259e-07,3.21979049494213e-06,6.45701708639193
"5507","1429552_at",0.461105092449894,6.42656649300858,7.49781053729082,2.3868760990055e-07,3.25212484976762e-06,6.44332837374218
"1212","1422839_at",-0.597827171099973,7.46769714281798,-7.49740998616425,2.38884803410319e-07,3.25212484976762e-06,6.44248165016518
"5821","1453761_at",-0.721218519511832,8.31968645683724,-7.4942623278932,2.40440274317687e-07,3.26565162143124e-06,6.43582709069082
"2336","1416349_at",0.801136762948412,9.72423248688245,7.49337632034018,2.40879992318421e-07,3.26565162143124e-06,6.43395371983016
"5588","1417809_at",0.441780046388375,6.45505018132077,7.48909178684347,2.43018105101598e-07,3.28726451333939e-06,6.42489305941115
"5314","1417162_at",0.762035914240897,7.70009434683354,7.48816652367875,2.43482404530428e-07,3.28726451333939e-06,6.4229360537853
"874","1423717_at",0.770747566580779,9.36492698202513,7.4791274843685,2.48066643310305e-07,3.34223673765805e-06,6.40381182895205
"49","1419638_at",-0.799350871159652,8.92190071502604,-7.47418275960719,2.5061199367709e-07,3.36956868199651e-06,6.39334554024292
"1843","1424988_at",0.699007511006952,8.58794595582879,7.47044215092577,2.52555401079281e-07,3.38473016162418e-06,6.38542581343671
"1623","1423503_at",-0.696674588865553,8.74265661190275,-7.47001610983599,2.52777731745281e-07,3.38473016162418e-06,6.38452366981637
"4332","1417498_at",0.703887289655614,8.05650246511844,7.45665824824277,2.59851942756327e-07,3.47232483343034e-06,6.3562262265132
